student,skill,correct
335,1,0
335,1,1
335,1,0
335,1,1
335,1,1
335,1,1
335,1,1
335,1,1
335,1,0
335,1,1
335,1,1
335,1,1
335,1,1
335,1,1
335,1,1
335,1,1
335,1,1
335,1,1
335,1,1
335,1,0
335,1,0
335,1,0
335,1,1
335,1,0
335,1,0
335,1,1
335,1,1
335,1,0
335,1,1
335,1,1
335,1,0
335,1,1
335,1,1
335,1,1
335,1,0
335,1,1
335,1,1
335,1,0
335,1,1
335,1,1
335,1,0
335,1,1
335,1,1
335,1,1
335,1,1
335,1,1
335,1,1
335,1,1
335,1,1
335,1,1
335,1,1
335,1,1
335,1,1
335,1,1
335,33,1
335,46,1
335,33,1
335,46,1
335,33,1
335,43,1
335,30,1
335,33,1
335,33,1
335,30,1
335,30,1
335,33,1
335,46,1
335,33,1
335,33,0
335,43,0
335,0,1
335,0,1
335,0,0
335,0,1
335,43,0
335,33,0
335,0,0
335,0,1
335,0,1
335,28,1
335,15,1
335,28,1
335,15,1
335,15,1
335,28,1
335,28,1
335,15,1
335,15,1
335,11,1
335,15,1
335,11,1
335,15,1
335,11,1
335,15,1
335,28,1
335,11,1
335,15,1
335,28,1
335,15,1
335,28,1
335,15,1
335,28,1
335,15,1
335,11,1
335,15,1
335,28,1
335,15,1
335,15,1
335,28,1
335,14,1
335,14,0
335,14,1
335,14,1
335,14,1
335,14,1
335,14,1
335,14,1
335,14,1
335,14,1
335,14,1
335,14,1
335,14,1
335,14,1
335,14,1
335,0,1
335,30,1
335,33,1
335,30,1
335,33,1
335,43,1
335,33,1
335,30,0
335,33,0
335,0,1
335,0,1
335,0,1
335,46,1
335,33,1
335,33,0
335,43,0
335,0,1
335,0,1
335,0,1
335,33,1
335,46,1
335,30,1
335,33,1
335,33,1
335,46,1
335,33,1
335,30,1
335,33,1
335,46,1
335,33,1
335,46,1
335,33,1
335,30,1
335,6,0
335,6,0
335,6,0
335,6,0
335,6,1
335,6,0
335,6,0
335,6,0
335,6,0
335,6,0
335,6,1
335,6,1
335,6,0
335,6,0
335,6,1
335,6,1
335,6,1
335,6,0
335,6,1
335,6,1
335,6,1
335,6,1
335,6,1
335,6,1
335,6,1
335,6,1
335,6,1
335,6,1
335,12,1
335,17,1
335,76,0
335,17,0
335,0,1
335,0,1
335,0,1
335,17,1
335,12,1
335,39,1
335,17,1
335,12,1
335,17,1
335,12,1
335,12,1
335,17,1
335,12,1
335,17,1
335,76,1
335,17,1
335,17,1
335,76,1
335,33,0
335,43,0
335,0,1
335,0,1
335,0,0
335,0,1
335,33,1
335,46,1
335,33,0
335,43,0
335,0,1
335,59,1
335,59,1
335,59,1
335,59,1
335,59,1
335,59,1
335,59,1
335,77,0
335,93,1
335,59,1
335,59,1
335,93,1
335,59,1
335,59,1
335,93,1
335,93,1
335,5,0
335,5,0
335,5,0
335,5,1
335,5,1
335,5,1
335,5,1
335,5,1
335,5,1
335,5,1
335,5,1
335,82,0
335,82,0
335,82,0
335,82,0
335,82,0
335,84,0
335,0,1
335,0,0
335,33,0
335,46,0
335,0,1
335,0,1
335,0,1
335,46,1
335,33,1
335,46,1
335,33,1
335,30,1
335,33,1
335,43,0
335,33,0
335,0,1
335,0,1
335,0,0
335,0,1
335,43,0
335,33,0
335,0,1
335,0,1
335,0,0
335,1,1
335,1,0
335,1,1
335,1,1
335,1,1
335,1,1
335,1,1
700,22,1
700,22,1
700,22,1
700,22,1
700,22,1
700,22,1
700,56,1
700,22,1
700,56,1
700,22,1
700,56,1
700,22,1
700,22,1
700,56,1
700,22,1
700,49,1
700,49,1
700,49,1
700,49,1
700,49,1
700,74,1
700,38,1
700,44,0
700,44,1
700,44,0
700,44,1
700,44,1
700,44,1
700,44,1
700,44,1
700,44,1
700,44,1
700,44,1
700,44,1
700,44,1
700,3,1
700,34,1
700,7,1
700,7,1
700,7,1
700,7,1
700,7,1
700,7,1
700,58,1
700,22,1
700,34,1
700,34,1
700,58,1
700,22,1
700,34,1
700,58,1
700,22,1
700,34,1
700,22,1
700,58,1
700,34,1
700,58,1
700,22,1
700,4,0
700,4,1
700,4,1
700,4,1
700,36,0
700,0,0
700,0,0
700,36,1
700,36,0
700,0,1
700,0,0
700,36,0
700,0,0
700,23,0
700,66,0
700,6,1
700,6,1
700,6,1
700,6,1
700,6,1
700,6,1
700,6,1
700,10,0
700,5,0
700,19,0
700,5,0
700,19,1
700,5,1
700,5,1
700,19,1
700,10,1
700,23,0
700,23,1
700,23,1
700,23,1
700,26,1
700,61,1
700,36,1
700,0,0
700,36,1
700,23,1
700,66,1
700,43,0
700,21,1
700,21,1
700,21,1
700,43,0
700,30,1
700,21,0
700,21,1
700,21,1
700,21,1
700,46,1
700,17,1
700,46,1
700,17,1
700,17,1
700,28,1
700,78,1
700,12,0
700,0,0
700,0,0
700,0,1
700,12,1
700,12,1
700,12,1
700,76,1
700,17,1
700,17,1
700,76,1
700,20,0
700,0,1
700,0,1
700,20,0
700,0,1
700,0,0
700,20,0
700,0,1
700,0,1
700,20,0
700,0,1
700,0,1
700,20,1
3848,4,1
3848,59,1
3848,81,1
3848,59,1
2125,15,1
2125,11,1
2125,28,1
2125,15,1
2125,3,1
2125,3,1
2125,16,1
2125,16,1
2125,29,0
2125,29,1
2125,29,1
2125,29,0
2125,29,1
2125,29,0
2125,29,1
2125,1,1
2125,1,1
2125,1,1
2125,1,0
2125,1,0
2125,1,0
2125,1,1
2125,1,1
2125,1,1
2125,1,1
2743,92,1
2743,59,1
2743,77,1
2743,67,1
2743,72,1
2743,18,0
2743,18,1
2743,18,0
2743,18,1
2743,18,1
2743,18,1
2743,18,0
2743,0,0
2743,0,1
2743,0,1
2440,43,0
2440,15,0
2440,28,0
2440,33,0
2440,43,0
2440,10,0
2440,0,1
2440,10,0
2440,0,1
2440,10,0
2440,0,1
2440,10,0
2440,0,1
2440,10,0
2440,0,1
2440,10,0
2440,0,1
2440,10,0
2440,0,1
2440,25,0
259,26,0
259,0,0
259,15,1
259,4,1
259,4,1
259,26,1
259,26,1
259,26,1
259,2,1
259,2,0
259,2,0
259,2,1
259,2,1
259,2,1
259,37,1
259,37,1
259,24,0
259,24,1
259,24,1
259,24,1
259,74,0
259,17,0
259,21,0
259,0,1
259,0,0
259,21,1
259,17,1
259,17,1
259,21,1
259,21,1
259,17,1
259,44,0
259,44,1
259,44,1
259,44,1
259,44,0
259,44,1
259,44,1
259,44,1
259,44,0
259,44,1
259,77,1
259,3,0
259,3,1
259,3,0
259,3,1
259,3,1
259,3,0
259,3,1
259,28,1
259,28,1
259,28,1
259,28,1
259,28,1
259,26,1
259,4,1
259,68,0
259,68,0
259,68,1
259,68,1
259,68,1
259,4,1
259,3,1
259,16,0
259,0,1
259,0,1
259,16,1
259,16,0
259,0,1
259,0,1
259,16,1
259,16,1
259,16,0
259,16,1
259,16,1
259,16,1
259,16,1
259,3,1
259,16,0
259,16,1
259,16,1
259,16,0
259,16,1
259,24,1
259,31,1
259,42,1
259,3,0
259,3,0
259,3,0
259,3,0
259,3,0
259,22,1
259,56,1
259,22,1
259,56,1
259,22,1
259,56,1
259,22,1
259,56,1
259,22,1
259,56,1
259,22,1
259,2,1
259,2,1
259,2,1
259,28,1
259,28,1
259,28,1
259,28,1
259,28,1
259,15,0
259,28,0
259,0,1
259,0,0
259,0,0
259,15,1
259,28,1
259,11,0
259,15,0
259,0,1
259,0,1
259,0,0
259,15,1
259,11,1
259,28,1
259,15,1
259,14,1
259,2,0
259,2,0
259,2,1
259,2,0
259,2,1
259,36,0
259,61,0
259,16,0
259,0,1
259,0,1
259,16,0
259,0,1
259,0,1
259,16,1
