student,skill,correct
1260,5,0
1260,5,1
1260,5,1
1260,5,1
1260,5,1
1260,5,1
1260,5,0
1260,5,0
1260,5,0
1260,5,0
1260,5,1
1260,5,0
1260,4,0
1260,4,0
1260,4,1
1260,4,1
1260,4,1
1260,18,0
1260,4,0
1260,9,0
1260,4,1
1260,9,0
1260,9,0
1260,9,0
1260,9,0
1260,22,0
1260,9,1
1260,4,0
1260,18,0
1260,4,0
1260,4,0
1260,4,1
1260,18,1
1260,4,1
1260,76,1
1260,1,0
1260,58,1
1260,48,1
1260,48,1
1260,48,1
1260,48,1
1260,48,1
1260,41,1
1260,15,0
1260,15,1
1260,15,1
1260,12,0
1260,15,1
1260,15,0
1260,15,1
488,21,1
488,21,1
488,21,1
488,43,1
488,43,1
488,43,1
488,43,0
488,43,1
488,43,1
488,43,1
488,43,1
488,43,1
488,37,1
488,48,1
488,48,1
488,48,1
488,48,1
488,48,1
488,21,1
488,21,1
488,55,1
488,21,1
488,55,1
488,21,1
488,55,1
488,55,1
488,21,1
488,21,0
488,55,0
488,55,1
488,21,1
488,21,1
488,55,1
488,55,1
488,21,1
488,55,1
488,21,1
488,21,1
488,55,1
488,21,1
488,21,1
488,21,1
488,21,0
488,21,1
488,21,1
488,21,1
488,21,1
488,21,1
488,35,1
488,5,0
488,5,1
488,5,1
488,5,1
488,22,0
488,65,0
488,22,0
488,65,0
488,65,1
488,22,1
488,65,1
488,22,1
488,22,1
488,65,1
488,60,1
488,20,1
488,20,0
488,29,1
488,20,0
488,29,1
488,29,1
488,20,0
488,29,1
488,16,1
488,45,1
488,45,0
488,16,0
488,45,1
488,16,1
488,16,1
488,45,1
488,45,1
488,16,1
488,16,1
488,27,1
488,20,0
488,16,0
488,20,0
488,16,0
488,77,1
488,11,1
488,11,1
488,16,1
488,11,1
488,16,1
488,75,1
488,19,0
488,19,1
488,19,1
488,19,1
488,19,0
488,4,0
488,4,1
488,19,1
488,19,1
488,4,1
488,19,1
488,4,1
488,20,0
488,16,0
488,20,1
488,16,1
488,16,0
488,20,0
488,16,1
488,20,1
488,20,1
488,16,1
488,20,1
488,20,1
488,16,1
488,18,0
488,9,0
488,34,0
488,40,0
488,18,1
488,40,1
488,34,1
488,9,1
488,18,1
488,34,1
488,40,1
488,9,1
488,18,1
488,34,1
488,4,1
488,18,0
488,40,0
488,5,0
488,18,1
488,5,1
488,40,1
488,18,1
488,40,1
488,5,1
488,18,1
488,40,1
488,34,1
488,40,0
488,18,0
488,5,0
488,18,0
488,4,0
488,18,1
488,4,1
488,18,1
488,4,1
488,18,1
488,5,1
488,40,1
488,26,0
488,26,1
488,26,1
488,26,1
488,8,1
488,8,1
488,10,1
488,14,1
488,14,1
488,10,1
488,36,1
488,36,1
488,36,1
488,36,1
488,23,1
2983,3,1
2983,3,1
2983,3,1
2983,3,1
2983,3,1
2983,3,1
2983,3,1
2983,3,1
2983,3,1
2983,3,1
3199,2,1
3199,3,0
3199,3,1
3199,3,1
3199,3,1
3199,1,1
3199,1,0
3199,1,1
2836,10,0
2836,14,0
2836,14,0
2836,27,0
2836,14,0
2836,14,1
2836,14,1
2836,14,0
2836,10,0
2836,25,0
2836,41,1
2836,89,0
1340,11,1
1340,11,1
1340,8,0
1340,26,0
1340,26,0
1340,8,0
1340,26,1
1340,8,1
1340,26,1
1340,8,1
1340,8,0
1340,26,0
