pred,truth
0.552984,0.0
0.557045,1.0
0.655915,0.0
0.660169,0.0
0.648029,0.0
0.630484,0.0
0.613515,1.0
0.694443,1.0
0.771188,0.0
0.736078,1.0
0.778174,1.0
0.808599,1.0
0.821757,1.0
0.82433,1.0
0.823147,0.0
0.750459,1.0
0.773974,1.0
0.802076,1.0
0.817763,0.0
0.75097,1.0
0.776135,1.0
0.803589,1.0
0.818382,1.0
0.822878,1.0
0.696946,1.0
0.682672,1.0
0.674169,0.0
0.606978,1.0
0.625639,1.0
0.647991,1.0
0.664389,1.0
0.672726,1.0
0.675428,1.0
0.675539,1.0
0.674958,1.0
0.693703,1.0
0.702689,0.0
0.685549,0.0
0.675197,0.0
0.670096,0.0
0.668239,0.0
0.66794,1.0
0.690669,0.0
0.681607,1.0
0.697173,1.0
0.705775,1.0
0.892832,1.0
0.914341,1.0
0.923161,1.0
0.924638,1.0
0.923938,1.0
0.923218,1.0
0.922883,1.0
0.92279,1.0
0.733923,1.0
0.715703,1.0
0.704907,0.0
0.643421,1.0
0.662823,1.0
0.684449,1.0
0.698621,1.0
0.704802,0.0
0.647312,1.0
0.666823,1.0
0.686753,1.0
0.699373,1.0
0.704795,0.0
0.647135,1.0
0.666656,0.0
0.624425,0.0
0.59014,0.0
0.563396,1.0
0.60798,1.0
0.655245,0.0
0.625299,1.0
0.660009,1.0
0.686226,1.0
0.700457,1.0
0.705606,1.0
0.764468,0.0
0.703521,0.0
0.647969,1.0
0.714523,1.0
0.770801,1.0
0.796295,0.0
0.715836,0.0
0.647848,0.0
0.596628,1.0
0.675102,0.0
0.642911,0.0
0.604429,0.0
0.568583,0.0
0.537151,0.0
0.510076,1.0
0.610298,1.0
0.719943,1.0
0.784833,1.0
0.804551,1.0
0.803783,1.0
0.799272,1.0
0.79648,1.0
0.79552,0.0
0.70954,0.0
0.641103,0.0
0.590951,0.0
0.552905,1.0
0.644346,1.0
0.738119,1.0
0.789742,1.0
0.803949,1.0
0.802376,1.0
0.798466,1.0
0.796221,1.0
0.808198,1.0
0.826942,1.0
0.837598,0.0
0.676176,0.0
0.547536,1.0
0.658319,0.0
0.569259,0.0
0.476637,1.0
0.601759,0.0
0.53165,1.0
0.671177,1.0
0.798169,0.0
0.67749,1.0
0.766358,0.0
0.642191,0.0
0.52961,1.0
0.646017,1.0
0.775062,0.0
0.661305,1.0
0.757789,1.0
0.827121,1.0
0.852571,1.0
0.853666,1.0
0.848466,1.0
0.844528,0.0
0.679791,1.0
0.749405,1.0
0.816446,0.0
0.674985,1.0
0.754393,0.0
0.631951,0.0
0.521493,1.0
