pred,truth
0.529425,1.0
0.529425,0.0
0.529425,1.0
0.529425,0.0
0.529425,0.0
0.529425,1.0
0.529425,0.0
0.529425,0.0
0.529425,0.0
0.529425,0.0
0.529425,1.0
0.529425,0.0
0.529425,1.0
0.529425,0.0
0.529425,1.0
0.529425,0.0
0.529425,1.0
0.529425,1.0
0.529425,1.0
0.529425,1.0
0.529425,1.0
0.529425,1.0
0.529425,0.0
0.529425,0.0
0.529425,1.0
0.529425,0.0
0.529425,0.0
0.529425,0.0
0.529425,1.0
0.529425,0.0
0.529425,0.0
0.529425,1.0
0.529425,0.0
0.529425,0.0
0.529425,1.0
0.529425,0.0
0.529425,0.0
0.529425,1.0
0.529425,0.0
0.529425,1.0
0.529425,1.0
0.529425,0.0
0.529425,1.0
0.529425,0.0
0.529425,0.0
0.529425,0.0
0.529425,1.0
0.529425,0.0
0.529425,0.0
0.529425,0.0
0.529425,0.0
0.529425,1.0
0.529425,1.0
0.529425,1.0
0.529425,0.0
0.529425,1.0
0.529425,0.0
0.529425,1.0
0.529425,1.0
0.529425,0.0
0.529425,0.0
0.529425,1.0
0.529425,0.0
0.529425,0.0
0.529425,0.0
0.529425,0.0
0.529425,0.0
0.529425,0.0
0.529425,0.0
0.529425,0.0
0.529425,1.0
0.529425,0.0
0.529425,1.0
0.529425,0.0
0.529425,0.0
0.529425,1.0
0.529425,1.0
0.529425,0.0
0.529425,0.0
0.529425,1.0
0.529425,0.0
0.529425,1.0
0.529425,0.0
0.529425,0.0
0.529425,1.0
0.529425,0.0
0.529425,1.0
0.529425,1.0
0.529425,0.0
0.529425,1.0
0.529425,1.0
0.529425,0.0
0.529425,1.0
0.529425,0.0
0.529425,1.0
0.529425,0.0
0.529425,1.0
0.529425,0.0
0.529425,0.0
0.529425,0.0
0.536084,0.0
0.521906,0.0
0.536084,1.0
0.521906,0.0
0.521906,0.0
0.536084,1.0
0.521906,1.0
0.521906,0.0
0.521906,0.0
0.521906,0.0
0.536084,1.0
0.521906,1.0
0.536084,1.0
0.521906,0.0
0.536084,1.0
0.521906,0.0
0.536084,1.0
0.536084,1.0
0.536084,0.0
0.536084,1.0
0.536084,1.0
0.536084,1.0
0.521906,0.0
0.521906,0.0
0.536084,0.0
0.521906,1.0
0.521906,1.0
0.521906,0.0
0.536084,1.0
0.521906,0.0
0.521906,0.0
0.536084,1.0
0.521906,1.0
0.521906,0.0
0.536084,1.0
0.521906,0.0
0.521906,0.0
0.536084,0.0
0.521906,0.0
0.536084,0.0
0.536084,0.0
0.521906,1.0
0.536084,1.0
0.521906,0.0
0.521906,1.0
0.521906,0.0
0.536084,1.0
0.521906,0.0
0.521906,0.0
0.521906,0.0
0.521906,0.0
0.536084,0.0
0.536084,0.0
0.536084,0.0
0.521906,1.0
0.536084,1.0
0.521906,0.0
0.536084,1.0
0.536084,1.0
0.521906,1.0
0.521906,1.0
0.536084,1.0
0.521906,0.0
0.521906,0.0
0.521906,0.0
0.521906,0.0
0.521906,0.0
0.521906,1.0
0.521906,0.0
0.521906,1.0
0.536084,1.0
0.521906,0.0
0.536084,1.0
0.521906,1.0
0.521906,0.0
0.536084,1.0
0.536084,0.0
0.521906,0.0
0.521906,0.0
0.536084,1.0
0.521906,0.0
0.536084,1.0
0.521906,0.0
0.521906,0.0
0.536084,0.0
0.521906,0.0
0.536084,1.0
0.536084,1.0
0.521906,0.0
0.536084,1.0
0.536084,1.0
0.521906,0.0
0.536084,1.0
0.521906,1.0
0.536084,1.0
0.521906,0.0
0.536084,1.0
0.521906,1.0
0.521906,0.0
0.521906,0.0
0.497238,0.0
0.505465,0.0
0.481244,1.0
0.505465,0.0
0.505465,0.0
0.481244,0.0
0.489898,1.0
0.505465,1.0
0.505465,0.0
0.505465,1.0
0.481244,1.0
0.489898,1.0
0.481244,1.0
0.505465,1.0
0.481244,1.0
0.505465,1.0
0.481244,1.0
0.481244,0.0
0.497238,1.0
0.481244,1.0
0.481244,0.0
0.481244,0.0
0.505465,0.0
0.505465,0.0
0.497238,1.0
0.489898,0.0
0.489898,1.0
0.505465,1.0
0.481244,1.0
0.505465,1.0
0.505465,1.0
0.481244,1.0
0.489898,1.0
0.505465,0.0
0.481244,1.0
0.505465,1.0
0.505465,1.0
0.497238,0.0
0.505465,1.0
0.497238,1.0
0.497238,1.0
0.489898,1.0
0.481244,0.0
0.505465,1.0
0.489898,0.0
